FullName,phone,userID,articleName,articleID,createdAt
pawan,9515632144,112290,mobile,123456788,Mon Oct 17 2022 10:33:07 GMT+0530 (India Standard Time)
pawan,9515632144,112290,book,123456789,Mon Oct 17 2022 10:34:01 GMT+0530 (India Standard Time)
pawan,9515632144,112290,pen,123456780,Mon Oct 17 2022 10:34:30 GMT+0530 (India Standard Time)
pawan,9515632144,112290,laptop,123456801,Mon Oct 17 2022 10:34:58 GMT+0530 (India Standard Time)
pawan,9515632144,112290,keyboard,123456802,Mon Oct 17 2022 10:35:19 GMT+0530 (India Standard Time)
pawan,9515632144,112290,sunglass,123456803,Mon Oct 17 2022 10:35:45 GMT+0530 (India Standard Time)
pawan,9515632144,112290,camera,123456804,Mon Oct 17 2022 10:36:24 GMT+0530 (India Standard Time)
shivay,9515632155,112291,car toy,123456805,Mon Oct 17 2022 10:37:47 GMT+0530 (India Standard Time)
shivay,9515632155,112291,Ballons,123456806,Mon Oct 17 2022 10:38:11 GMT+0530 (India Standard Time)
shivay,9515632155,112291,toy Gun,123456807,Mon Oct 17 2022 10:38:46 GMT+0530 (India Standard Time)
shivay,9515632155,112291,Frooti,123456808,Mon Oct 17 2022 10:39:22 GMT+0530 (India Standard Time)
Dummu,9515632166,112292,Frooti,123456808,Mon Oct 17 2022 10:39:56 GMT+0530 (India Standard Time)
vivek,9515632177,112293,Frooti,123456808,Mon Oct 17 2022 14:30:48 GMT+0530 (India Standard Time)
vikas,9515632188,112294,tablet,123456809,Mon Oct 17 2022 14:32:13 GMT+0530 (India Standard Time)
